Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL,Aircraft,Base_Type,First_Duty_Station
ANDREWS JB,"38°47'46""N","76°53'00""W",18S UH 36445 95835,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ANDREWS_JB.html,,Active Duty,Yes
ARLINGTON VA,"38°55'0.00""N","77°10'0.00""W",,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,,,Active Duty,No
AVIANO AB,"46°1'48.00""N","12°35'56.00""E",,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,,,Active Duty,Yes
BARKSDALE AFB,"32°29'45""N","93°40'21""W",15S VR 36822 95596,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BARKSDALE_AFB.html,,Active Duty,Yes
BEALE AFB,"39°06'41""N","121°21'35""W",10S FJ 41815 30418,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_BEALE_AFB.html,,Active Duty,Yes
CANNON AFB,"34°23'20""N","103°19'05""W",13S FU 54620 06558,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_CANNON_AFB.html,,Active Duty,Yes
COLUMBUS AFB,"33°37'38""N","88°26'51""W",16S CC 65739 21763,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_COLUMBUS_AFB.html,,Active Duty,Yes
DAVIS-MONTHAN AFB,"32°10'14""N","110°52'39""W",12S WA 11549 59347,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DAVIS-MONTHAN_AFB.html,,Active Duty,Yes
DYESS AFB,"32°25'17""N","99°50'31""W",14S MA 20838 87456,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_DYESS_AFB.html,,Active Duty,Yes
EDWARDS AFB,"34°55'25""N","117°53'29""W",11S MU 18582 64934,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EDWARDS_AFB.html,,Active Duty,Yes
EGLIN AFB,"30°27'49""N","86°33'11""W",16R EU 42905 70243,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EGLIN_AFB.html,,Active Duty,Yes
EIELSON AFB,"64°39'52""N","147°05'45""W",6W VS 95424 71061,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_EIELSON_AFB.html,,Active Duty,Yes
ELLSWORTH AFB,"44°08'54""N","103°05'15""W",13T FJ 52951 90126,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_ELLSWORTH_AFB.html,,Active Duty,Yes
FAIRCHILD AFB,"47°38'28""N","117°38'41""W",11T MN 51574 76613,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_FAIRCHILD_AFB.html,,Active Duty,Yes
FE WARREN AFB,"41°08'32""N","104°52'41""W",13T EF 10233 54552,13H,13H (AEROSPACE PHYSIOLOGIST),https://paladindanse111.github.io/AFSC-PDFs/AFSC_files/13H.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_files/BASE_FE_WARREN_AFB.html,,Active Duty,Yes
